genero,Miembros,popularidad,cantidad_animes
Action,525981584,13.17629273158592,5652
Demons,344203114,8.622585138242101,6023
Police,341949912,8.566140483070686,2133
Military,307334075,7.698983884179454,2231
Comedy,271421970,6.799354652887869,3097
Mecha,268085043,6.715761750943354,2189
Adventure,242848251,6.083558325741026,4417
Space,167171753,4.187796723279149,1564
Music,161155275,4.03707875566843,3453
Vampire,124481069,3.1183582364449194,456
Yaoi,119472462,2.9928883074265102,1092
Boys Love,114549127,2.869554515618958,1002
Dementia,98346319,2.463660188182425,820
Supernatural,94745460,2.3734555617992217,452
Shounen,84758709,2.1232788282095174,482
School,84423553,2.114882881086876,720
Sports,70363384,1.7626635102285042,739
Fantasy,63805608,1.5983855604435389,1722
Award Winning,50602139,1.2676272641294613,640
Game,47542408,1.190978361273752,579
Josei,43886239,1.0993881716443186,1317
Mystery,40390426,1.0118150382418312,516
Magic,38427874,0.9626514164733561,803
Samurai,37701053,0.9444439229968089,820
Slice of Life,34118829,0.8547061194502257,1597
Kids,29970223,0.7507799578756909,5110
Sci-Fi,29421404,0.7370315681589584,179
Horror,26489974,0.6635967161087906,708
Super Power,20940272,0.5245718902413742,314
Romance,16127285,0.4040024110914777,672
Martial Arts,16026684,0.4014822691978971,252
Drama,14173950,0.35506968312955656,338
Ecchi,12429635,0.31137308660366697,1592
Avant Garde,11622811,0.29116144891471496,1064
Harem,10928279,0.27376282276157227,6914
Yuri,10770355,0.2698066902340445,159
Psychological,7940330,0.19891212097150843,197
Parody,7271566,0.18215900546253214,121
Historical,0,0.0,0
Shoujo,0,0.0,0
Seinen,0,0.0,0
